"Gbif_ID","Kingdom","Phylum","Class","Order","Family","Genus","Especies","Latitude","Longitude"
724218064,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.55608,-74.88333
724218311,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.56372,-74.90419
724220645,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.57583,-74.88956
727773779,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.24414,-74.87094
730248725,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.07,-75.15
972450449,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.3183,-74.9128
857442723,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.77417,-74.51783
857627425,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6,-75
935278852,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.60186,-75.0837
976705768,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.33614,-74.4764
963920845,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.5708,-74.1969
1065327736,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.03083,-74.53333
1060486526,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.01132,-73.79447
1133634696,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.33383,-75.35303
1133635040,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",3.64675,-74.98886
256059565,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.34333,-75.1075
1204949590,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.50167,-74.5314
1203760720,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.2882,-74.1564
373652024,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.66814,-74.6166
768009131,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.45,-74.06667
857644694,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.2833,-75.5666
857698676,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.75,-74.25
857641883,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.29562,-75.22825
857713276,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.62375,-74.08743
724218854,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.55397,-74.88947
724219310,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.56942,-74.87169
724219695,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.50706,-74.91422
724224929,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.375,-75.04064
724225194,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.35236,-74.01214
724234640,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.19406,-74.81056
724236107,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.21861,-74.83906
724236242,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.22253,-74.85058
727774733,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.23108,-74.87658
589015733,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.04984,-74.2614
1174960356,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.9089,-74.5721
1178030145,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.30775,-74.6323
949045357,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.90147,-74.9583
1196331890,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.01017,-74.0813
829013084,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.3053,-74.1049
830614147,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1546,-74.1165
1133631563,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.16386,-73.46667
1133633788,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.00878,-75.11161
1147200184,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.07,-74.7
954118275,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.94083,-74.1818
857526525,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.4164,-74.2742
857763439,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",10.9027,-74.05238
724223315,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.35186,-75.00489
724228122,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.36061,-74.99036
724230142,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.21561,-74.83936
727771617,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.41056,-75.02794
588082833,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.86547,-74.8692
1154452786,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.03584,-75.1945
1189825902,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.46557,-73.4873
1181616532,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.19628,-74.9079
1196541855,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.35111,-74.6517
954142022,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.99724,-74.3362
977585018,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.93553,-74.8108
939308135,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.01545,-75.1656
935856436,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.9008,-74.7239
1159818020,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1291,-74.0998
932900064,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.02834,-74.6933
896411661,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.91667,-75
1133633987,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.96158,-75.15686
1201107044,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1272,-74.1189
724224644,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.36761,-75.02442
727772252,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.38053,-75.03483
727774531,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.21914,-74.81714
857645603,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.55081,-75.21748
857609267,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",8.05,-75.2166
979370214,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.32745,-74.4875
1133631413,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.21572,-73.41414
768990089,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",9.5775,-75.46111
724221941,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.48089,-74.91708
724224297,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.37072,-74.99789
730250836,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.58,-75.35
830364319,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.91,-74.8627
1207080018,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.50273,-74.9936
1207366618,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",4.47317,-74.9925
857442853,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.1833,-74.9833
857698703,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.97527,-74.59441
857698648,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.42125,-74.9166
932900056,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.59252,-75.18642
956814522,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.9323,-74.8138
935854336,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.9009,-74.8569
963263842,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.23488,-74.5003
1065327740,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.97363,-75.09462
1060486564,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.43714,-73.59139
768974686,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.69828,-74.36964
259409345,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1222,-74.0793
588948469,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.43427,-74.8349
942697191,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.02135,-74.2993
1176243638,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",5.16614,-74.7695
829385533,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",11.1125,-74.0673
919140957,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",7.42167,-73.33972
857609300,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.47413,-74.42082
857633787,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus","Manacus manacus",6.89552,-75.07212
